#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_43_38  2.26  -5.05  0.49  -10.95  1.68  -4.41  0.82  -8.00  0.88  -2.05  0.33  -1.88  0.29
edge_43_42  1.72  -0.42  1.30  -4.67  1.15  -5.97  0.39  -2.54  0.87  4.18  0.75  2.34  0.50
edge_43_45  3.10  -5.24  2.03  8.05  0.67  -2.76  1.02  1.40  1.07  -1.13  0.84  1.13  0.92
edge_17_16  -1.26  -6.74  1.44  -11.30  0.75  -7.27  0.69  -9.02  0.81  -4.35  0.29  -3.10  0.25
edge_17_25  -3.35  -7.25  1.29  -10.23  2.84  -6.07  2.47  -8.74  1.56  -19.08  1.26  -14.10  0.92
edge_17_45  -9.16  -13.31  2.82  -3.83  3.02  -11.87  1.85  -8.57  2.06  -13.81  0.88  -12.09  0.50
edge_28_25  -14.94  -5.20  0.99  -17.65  2.00  -6.83  2.87  -11.42  1.12  -3.22  0.96  -6.65  0.67
edge_28_30  -22.84  -15.20  2.24  -21.17  2.88  -19.41  2.17  -18.19  1.83  -11.51  1.05  -11.38  1.13
edge_28_39  -22.13  -14.66  3.21  -20.76  1.89  -19.31  3.27  -17.71  1.86  -12.26  0.96  -12.72  0.59
edge_22_21  2.22  5.61  0.53  5.76  0.87  10.55  0.50  5.68  0.51  -0.63  0.46  3.77  0.54
edge_22_26  0.29  6.00  1.87  3.73  2.13  11.85  2.82  4.86  1.42  0.29  1.05  2.09  0.67
edge_22_32  3.05  7.14  1.12  2.52  1.10  4.34  1.65  4.83  0.78  3.05  0.92  2.55  0.59
edge_16_14  3.97  3.52  1.33  14.18  2.31  5.18  3.08  8.85  1.33  4.02  0.46  3.31  0.33
edge_16_15  6.65  7.81  3.14  9.26  2.30  -2.15  1.95  8.54  1.95  7.11  0.33  5.69  0.33
edge_16_20  -5.86  -7.95  1.77  -0.04  1.16  -8.77  2.08  -4.00  1.06  -4.44  0.67  -3.22  0.38
edge_16_19  -6.02  -7.70  1.75  2.14  1.16  -7.21  1.31  -2.78  1.05  -7.57  0.38  -5.77  0.33
edge_30_33  2.43  7.48  1.82  16.32  2.24  12.39  1.98  11.90  1.44  7.53  0.79  6.19  0.63
edge_30_37  0.71  -3.96  0.39  3.37  1.88  -0.44  1.59  -0.29  0.96  -3.97  0.75  -3.10  0.59
edge_21_20  -3.93  -5.59  2.41  -4.86  1.38  -11.64  3.08  -5.22  1.39  -3.72  1.05  -2.05  0.92
edge_21_41  -6.36  -13.86  0.78  -14.11  1.54  -19.27  1.26  -13.99  0.86  -14.69  1.05  -10.42  1.26
edge_21_29  2.09  2.44  1.44  -6.76  2.60  -7.12  2.06  -2.16  1.48  -4.02  0.92  -9.46  0.79
edge_21_26  -1.92  0.44  1.18  -1.06  0.59  -2.95  1.62  -0.31  0.66  3.56  1.72  5.86  0.96
edge_24_42  -4.90  -11.64  5.16  -2.36  1.64  -21.25  2.35  -7.00  2.71  -11.30  1.26  -15.27  0.88
edge_24_33  -3.18  -5.17  1.67  6.98  2.32  -5.42  1.06  0.91  1.43  -10.42  1.00  -6.28  0.71
edge_38_29  8.87  12.60  2.26  12.92  5.31  7.53  2.87  12.76  2.89  8.74  0.88  -0.21  1.72
edge_31_25  8.91  8.74  5.73  6.68  2.89  20.13  2.81  7.71  3.21  11.17  1.13  4.31  0.88
edge_31_37  1.72  0.84  0.94  0.92  0.83  4.51  0.65  0.88  0.63  -3.60  0.59  -2.89  0.42
edge_41_39  -1.00  2.32  0.71  4.42  0.45  2.46  1.07  3.37  0.42  0.71  0.42  2.59  0.25
edge_41_40  0.38  2.92  0.21  1.56  0.61  -0.72  1.31  2.24  0.32  0.79  0.38  5.69  1.38
edge_29_33  -7.70  3.53  3.09  4.41  4.32  -2.42  1.95  3.97  2.65  5.90  1.63  6.49  0.96
edge_20_35  -3.43  -8.72  1.10  -11.04  1.25  -6.03  1.95  -9.88  0.84  -7.66  0.84  -6.74  0.67
edge_42_13  1.00  4.85  1.14  -16.62  1.16  3.65  0.92  -5.89  0.81  -1.59  0.59  -1.05  0.38
edge_35_18  2.26  15.42  3.68  17.86  1.78  11.74  3.48  16.64  2.04  14.23  0.54  11.34  0.50
edge_35_27  12.72  17.26  2.93  3.14  1.96  19.22  1.19  10.20  1.76  1.00  1.21  -1.38  1.42
edge_35_37  0.00  3.82  1.58  -1.69  1.03  -4.58  1.29  1.07  0.94  -4.27  0.50  -4.77  0.42
edge_35_36  1.00  0.73  2.20  3.89  1.30  0.60  0.85  2.31  1.28  -1.09  0.67  -0.50  0.42
edge_44_32  8.20  6.64  4.26  -8.41  1.80  3.61  1.62  -0.89  2.31  9.00  0.92  6.61  0.84
edge_44_36  1.00  -3.50  1.03  -9.53  1.70  -0.72  0.96  -6.52  0.99  -1.51  1.05  -1.26  1.34
edge_18_13  -1.26  3.78  4.46  -19.49  2.57  -8.79  2.77  -7.85  2.57  -9.41  1.05  -8.41  0.59
edge_18_15  13.68  5.45  3.18  -0.74  2.12  6.48  2.63  2.36  1.91  8.24  0.42  6.28  0.38
edge_18_45  -0.88  -3.64  1.84  -6.57  3.73  -4.71  0.84  -5.11  2.08  -9.20  0.67  -8.12  0.50
edge_40_19  1.88  3.89  1.86  10.33  1.63  12.89  1.34  7.11  1.24  8.87  0.59  10.67  0.63
edge_40_33  0.33  7.52  1.79  8.88  2.87  10.18  0.84  8.20  1.69  9.20  0.79  7.53  0.59
edge_19_32  4.94  3.48  0.91  -5.33  0.55  4.24  0.40  -0.92  0.53  1.72  0.67  -0.59  0.46
edge_19_25  3.93  14.41  2.89  -12.44  3.80  16.34  1.35  0.98  2.39  -8.58  1.26  -8.83  1.00
edge_33_32  6.49  6.64  1.81  -9.76  1.91  1.71  1.89  -1.56  1.32  4.44  0.96  3.39  0.54
edge_33_34  -0.33  -2.51  2.52  -10.43  1.37  -4.08  1.40  -6.47  1.43  -9.92  0.54  -8.20  0.46
edge_27_36  -11.72  -18.64  2.57  -3.99  1.45  -17.61  3.17  -11.31  1.48  -1.55  1.67  -2.38  0.92
edge_13_14  12.26  19.73  4.12  20.48  4.18  12.85  3.43  20.11  2.93  10.84  0.96  12.30  0.92
edge_39_32  8.20  9.79  2.68  -4.49  4.93  16.88  3.05  2.65  2.81  10.59  0.79  8.12  0.59
edge_32_23  2.22  4.49  1.62  10.98  2.28  2.08  3.84  7.74  1.40  9.87  1.30  5.23  1.38
edge_23_14  2.80  12.03  6.26  9.56  2.82  -11.03  7.65  10.80  3.44  4.73  2.13  7.91  2.09
