#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300  8.20  14.37  2.04  5.59  3.67  8.01  1.69  9.98  2.10  9.75  0.54  10.17  0.38
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200  7.20  7.50  0.93  11.94  1.34  5.99  0.98  9.72  0.81  7.32  0.54  6.02  0.29
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42  3.31  2.17  0.61  4.43  1.19  -2.18  0.74  3.30  0.67  1.80  0.46  2.01  0.29
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90  5.23  5.86  1.07  10.36  2.22  8.51  1.43  8.11  1.23  4.44  0.42  5.48  0.25
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402760_1  -5.94  -18.95  8.90  -6.32  4.14  -17.82  2.97  -12.64  4.91  -8.12  0.71  -7.95  0.46
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23  1.84  -1.95  1.98  4.96  1.62  -5.43  1.01  1.51  1.28  -4.06  0.50  -4.48  0.42
edge_CHEMBL3402753_200_CHEMBL3402747_3400  7.03  15.28  0.50  13.28  0.58  15.84  0.95  14.28  0.38  16.40  0.38  14.73  0.21
edge_CHEMBL3402753_200_CHEMBL3402761_1  -13.14  -21.63  1.20  -7.47  1.24  -29.56  1.43  -14.55  0.86  -8.74  0.67  -7.45  0.50
edge_CHEMBL3402753_200_CHEMBL3402755_4200  7.53  3.95  0.57  6.35  0.54  4.80  0.40  5.15  0.39  6.82  0.17  6.74  0.13
edge_CHEMBL3402753_200_CHEMBL3402750_400  1.72  1.09  1.96  2.53  0.48  1.57  0.29  1.81  1.01  2.72  0.25  1.88  0.17
edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5  0.33  -0.93  1.58  -11.86  4.51  -2.97  1.30  -6.39  2.39  0.50  0.92  2.22  0.63
edge_CHEMBL3402759_5.7_CHEMBL3402763_90  6.82  7.76  3.54  6.04  8.90  -1.25  4.48  6.90  4.79  4.27  1.13  1.88  0.84
edge_CHEMBL3402759_5.7_CHEMBL3402758_10  1.38  -7.50  0.97  -10.37  1.08  -2.29  1.27  -8.93  0.72  -1.72  0.79  -0.79  0.63
edge_CHEMBL3402747_3400_CHEMBL3402744_300  -6.02  -4.15  0.53  -2.74  3.27  -3.42  3.88  -3.45  1.65  -9.00  0.63  -6.02  0.46
edge_CHEMBL3402747_3400_CHEMBL3402749_500  -4.77  -2.37  1.02  -6.78  0.26  -2.94  0.49  -4.57  0.53  -7.36  0.38  -6.78  0.25
edge_CHEMBL3402747_3400_CHEMBL3402751_2100  -1.21  -3.28  0.22  0.50  0.54  -1.86  0.73  -1.39  0.29  -6.49  0.33  -4.98  0.25
edge_CHEMBL3402747_3400_CHEMBL3402752_30000  5.40  2.76  0.51  2.63  0.20  -0.82  0.22  2.70  0.27  -3.97  0.38  -1.26  0.29
edge_CHEMBL3402747_3400_CHEMBL3402755_4200  0.54  -10.66  0.29  -4.43  0.63  -11.55  0.81  -7.55  0.35  -13.14  0.38  -8.91  0.29
edge_CHEMBL3402744_300_CHEMBL3402745_200  -1.00  -4.21  0.56  -0.75  0.28  -5.32  0.39  -2.48  0.31  -3.93  0.33  -3.68  0.25
edge_CHEMBL3402744_300_CHEMBL3402752_30000  11.42  8.25  0.74  9.31  0.73  8.24  0.47  8.78  0.52  8.28  0.88  9.37  1.00
edge_CHEMBL3402744_300_CHEMBL3402756_2.7  -11.67  -22.82  1.71  -16.49  5.45  -20.41  1.68  -19.66  2.86  -16.90  0.96  -19.20  1.05
edge_CHEMBL3402744_300_CHEMBL3402757_6.5  -9.50  -17.94  2.15  -11.19  6.08  -23.85  4.73  -14.57  3.23  -17.91  1.00  -20.42  1.38
edge_CHEMBL3402745_200_CHEMBL3402743_42  -3.85  -8.36  0.73  -2.96  1.80  -9.12  0.58  -5.66  0.97  -3.35  0.79  -4.23  0.54
edge_CHEMBL3402745_200_CHEMBL3402742_23  -5.36  -12.62  1.21  -3.77  1.45  -10.44  0.95  -8.19  0.94  -12.59  1.00  -12.59  0.79
edge_CHEMBL3402745_200_CHEMBL3402748_5300  8.12  -0.50  1.11  2.74  0.47  125.56  11.33  1.12  0.60  5.94  0.75  8.08  0.75
edge_CHEMBL3402745_200_CHEMBL3402752_30000  12.43  9.14  1.23  3.85  3.10  12.02  0.51  6.50  1.67  8.74  0.79  8.16  0.59
edge_CHEMBL3402745_200_CHEMBL3402756_2.7  -10.67  -22.31  4.26  -15.56  3.76  -12.76  1.59  -18.93  2.84  -12.80  0.96  -12.26  0.71
edge_CHEMBL3402761_1_CHEMBL3402755_4200  20.67  18.29  0.97  6.53  0.98  23.16  1.54  12.41  0.69  15.02  0.75  14.43  0.50
