#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_CHEMBL1078774_CHEMBL1089056  4.85  -3.20  0.47  3.84  1.46  5.21  1.99  0.32  0.77  -1.38  0.92  -1.76  0.38
edge_CHEMBL1078774_CHEMBL1088740  7.95  5.74  3.18  8.04  4.21  8.20  1.80  6.89  2.64  6.49  1.05  2.93  0.84
edge_CHEMBL1093087_CHEMBL1084678  -2.47  -26.03  3.05  -6.41  5.23  -22.84  1.39  -16.22  3.03  -17.91  1.00  -9.62  0.88
edge_CHEMBL1093087_CHEMBL1096003  -5.56  -3.82  7.36  -5.08  4.15  -16.14  4.45  -4.45  4.23  -10.46  1.30  -1.51  1.09
edge_CHEMBL1093087_CHEMBL1086409  2.76  -7.12  5.22  -2.43  3.17  3.54  3.04  -4.77  3.05  -0.54  1.21  7.28  0.96
edge_CHEMBL1093087_CHEMBL1083517  -3.85  -6.37  4.71  -12.16  4.64  -2.62  3.16  -9.26  3.31  -8.95  1.05  1.88  0.84
edge_CHEMBL1082249_CHEMBL1086409  5.61  4.20  1.36  0.25  2.28  4.82  1.98  2.22  1.33  6.40  0.63  5.44  0.54
edge_CHEMBL1082249_CHEMBL1077227  -0.46  13.83  1.53  -8.79  3.87  5.69  1.49  2.52  2.08  5.94  1.09  3.56  0.71
edge_CHEMBL1082249_CHEMBL1082248  -1.72  0.81  1.81  0.34  1.57  6.24  1.99  0.58  1.20  1.05  0.71  0.63  0.67
edge_CHEMBL1082249_CHEMBL1096003  -2.72  5.59  4.50  -7.47  1.87  -9.84  3.17  -0.94  2.44  0.04  1.51  -7.45  1.21
edge_CHEMBL1089393_CHEMBL1093088  -11.88  -6.16  0.77  -8.19  1.10  -10.89  2.00  -7.18  0.67  -2.47  0.38  -4.64  0.71
edge_CHEMBL1089393_CHEMBL1088740  -1.34  0.87  0.45  1.10  0.70  2.52  0.34  0.99  0.42  0.79  0.13  0.46  0.08
edge_CHEMBL1089393_CHEMBL1085895  -10.38  -16.60  4.22  -9.89  1.92  -12.74  1.56  -13.25  2.32  -10.42  0.88  -10.46  0.59
edge_CHEMBL1078691_CHEMBL1089056  3.14  2.78  1.14  3.92  2.05  4.27  0.66  3.35  1.17  5.06  0.67  3.39  0.42
edge_CHEMBL1078691_CHEMBL1093088  -4.31  -5.07  1.19  15.15  3.94  2.03  0.80  5.04  2.06  4.31  1.17  2.51  0.84
edge_CHEMBL1086409_CHEMBL1082248  -7.32  -2.97  1.70  -3.22  2.68  -4.74  2.77  -3.10  1.59  -5.15  0.38  -5.15  0.25
edge_CHEMBL1086409_CHEMBL1085666  -2.64  0.13  1.09  -4.02  1.87  -2.83  3.02  -1.94  1.08  -3.43  0.50  -4.81  0.33
edge_CHEMBL1086409_CHEMBL1084676  -3.51  -0.78  3.70  -5.40  3.54  -1.39  3.33  -3.09  2.56  -3.35  0.59  -4.85  0.38
edge_CHEMBL1086409_CHEMBL1083517  -6.61  -4.17  0.98  -3.39  1.55  -9.89  0.56  -3.78  0.92  -7.20  0.63  -6.95  0.38
edge_CHEMBL1086409_CHEMBL1086410  -6.61  8.42  1.27  -2.47  2.21  5.47  2.06  2.98  1.27  -0.50  0.38  -1.80  0.33
