#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_338_165  6.36  3.80  1.65  27.64  2.25  12.65  0.61  15.72  1.39  -1.84  1.05  -1.92  0.75
edge_338_215  0.67  -2.54  2.01  17.18  2.19  2.05  1.57  7.32  1.48  -3.18  0.54  -1.63  0.88
edge_338_163  -1.05  4.23  0.79  17.78  0.62  8.30  0.91  11.00  0.50  -4.27  0.42  -1.59  0.84
edge_43_235  -5.94  -9.45  1.48  -16.78  0.82  -6.33  2.89  -13.12  0.84  -0.84  0.42  -0.79  0.25
edge_43_54  -2.55  6.08  0.85  -25.19  3.65  6.99  1.06  -9.55  1.87  3.77  0.33  2.80  0.21
edge_43_215  -7.95  -2.77  1.14  -26.03  2.28  -1.25  1.18  -14.40  1.27  -6.86  0.42  -5.69  0.38
edge_43_155  -7.53  -2.85  0.71  5.69  1.54  -0.24  0.58  1.42  0.85  -4.18  0.25  -4.60  0.25
edge_43_25  -6.61  -6.93  0.83  -2.72  1.61  -3.46  0.85  -4.82  0.91  -0.71  0.33  -0.92  0.29
edge_235_1  -5.02  -0.08  2.26  6.72  3.02  6.45  2.03  3.32  1.89  -1.26  0.29  -1.72  0.21
edge_235_54  3.39  6.24  1.89  -1.72  2.07  11.47  1.75  2.26  1.40  5.69  0.96  4.81  0.50
edge_234_227  -1.72  -19.50  0.70  -4.75  1.22  -17.62  3.34  -12.12  0.70   nan   nan   nan   nan
edge_234_289  -2.38  -3.90  0.26  -4.27  1.28  -5.31  1.16  -4.08  0.66  -4.44  0.17  -4.56  0.08
edge_30_42  6.82  -0.09  2.54  0.67  0.37  -0.66  1.60  0.29  1.28  5.19  0.38  4.85  0.29
edge_30_84  12.51  7.85  2.76  27.23  0.77  7.52  1.16  17.54  1.43  9.54  0.38  8.83  0.25
edge_30_251  1.34  6.95  0.77  -21.39  3.34  0.70  3.99  -7.22  1.71  5.48  0.46  5.82  0.29
edge_30_25  1.17  -1.56  3.87  3.14  1.74  -9.24  1.67  0.79  2.12  7.15  0.42  6.69  0.29
edge_1_155  3.43  5.04  1.15  5.33  0.47  1.74  0.52  5.18  0.62   nan   nan   nan   nan
 edge_1_7a  5.56  3.90  1.44  -3.45  0.76  3.89  1.66  0.23  0.81   nan   nan   nan   nan
edge_1_254  7.41  7.64  2.00  -19.04  4.24  2.63  1.99  -5.70  2.35  -0.42  0.29  0.00  0.17
edge_1_256  2.72  12.85  2.22  -22.56  3.38  3.34  0.76  -4.85  2.02  3.35  0.29  3.72  0.33
 edge_1_15  1.17  -2.96  0.42  -2.91  0.93  -2.46  1.46  -2.94  0.51  -4.56  0.33  -4.56  0.17
edge_237_227  -5.06  -26.34  1.72  -25.62  5.23  -31.05  2.82  -25.98  2.75  -18.20  0.67  -9.46  1.00
edge_237_31  2.97  -16.21  1.56  -11.49  3.04  -14.87  1.31  -13.85  1.71  -7.20  1.17  -0.29  0.88
edge_237_41  -1.00  -15.67  0.79  -13.51  2.08  -17.19  4.06  -14.59  1.11  -4.14  1.26  -9.20  1.05
edge_237_336  -1.13  -14.98  4.60  -23.69  3.49  -21.14  2.73  -19.34  2.89  4.23  0.84  5.77  0.54
edge_237_290  -4.27  -17.40  1.45  -32.66  2.99  -27.86  2.19  -25.03  1.66  -14.06  0.92  -6.28  0.63
edge_237_254  0.00  -10.13  1.33  -27.69  2.22  -13.36  0.99  -18.91  1.29  -12.47  0.75  -2.55  0.79
edge_227_167  0.33  12.04  1.01  0.85  3.01  17.80  1.41  6.45  1.59  2.18  0.21  3.22  0.17
edge_227_231  3.10  13.51  1.14  3.44  1.25  17.25  1.16  8.47  0.85  5.61  0.17  5.65  0.17
edge_227_15  -1.21  5.98  1.21  15.24  1.64  11.96  1.07  10.61  1.02  0.63  0.25  1.09  0.17
edge_266_156  3.35  16.22  0.60  11.00  3.05  12.94  2.08  13.61  1.56   nan   nan   nan   nan
edge_266_165  5.44  22.13  1.31  -0.05  1.38  22.25  1.14  11.04  0.95  4.77  0.42  5.82  0.50
edge_266_84  12.38  14.51  2.06  37.84  2.78  26.24  3.30  26.18  1.73  4.64  0.54  2.76  0.46
edge_266_254  4.10  19.43  2.88  -5.27  7.92  17.96  5.01  7.08  4.22  -0.63  0.46  -1.34  0.46
edge_206_57  -2.30  -10.69  1.58  -2.05  2.11  -13.06  1.74  -6.37  1.32  -7.87  0.25  -8.24  0.17
edge_206_42  4.94  -5.24  2.03  12.22  1.32  -6.86  0.71  3.49  1.21  -4.52  0.29  -3.60  0.33
edge_206_23  12.80  -10.35  3.48  0.90  2.71  -16.43  1.66  -4.72  2.21  3.60  0.38  3.39  0.29
edge_206_256  -2.30  -11.23  2.44  -17.52  1.10  -11.69  1.70  -14.37  1.34  -2.30  0.50  -3.77  0.75
edge_67_165  3.93  22.91  1.73  33.26  1.40  21.32  2.11  28.09  1.11  6.44  0.79  6.95  0.67
edge_67_256  -2.09  17.16  3.77  6.48  0.95  19.75  3.13  11.82  1.95  10.84  0.46  10.63  0.33
edge_156_167  -3.93  3.39  0.93  -19.61  2.69  4.24  0.91  -8.11  1.42  -6.07  0.25  -6.15  0.17
edge_156_165  2.09  8.24  0.97  -10.10  1.17  9.38  1.47  -0.93  0.76  1.97  0.42  1.26  0.46
edge_156_42  3.35  -0.14  0.63  -7.29  0.43  1.14  1.27  -3.71  0.38  -3.64  0.25  -2.97  0.21
edge_156_164  12.43  19.13  1.60  -3.94  1.88  15.77  2.52  7.60  1.23  14.60  0.59  11.25  0.50
edge_31_61  -5.31  -5.24  0.68  -7.93  1.43  0.83  2.81  -6.58  0.79  -0.88  0.38  -0.42  0.29
edge_31_7a  -4.81  -7.37  1.56  -1.65  2.88  -1.35  3.21  -4.51  1.64  2.30  0.46  2.34  0.38
edge_289_35  15.73  0.29  2.99  8.79  1.62  -3.07  4.04  4.54  1.70  2.85  0.33  0.59  0.25
edge_289_224  5.23  -2.02  2.45  4.35  1.75  -7.45  5.71  1.16  1.50   nan   nan   nan   nan
edge_61_251  -0.59  1.43  1.74  -12.86  1.62  0.84  0.97  -5.72  1.19  -0.79  0.29  -0.75  0.17
edge_167_165  6.02  3.64  1.14  6.53  1.72  3.40  0.72  5.09  1.03  10.13  0.38  9.08  0.29
edge_167_155  0.71  -3.33  1.17  19.03  5.60  -3.95  0.99  7.85  2.86  3.97  0.25  3.14  0.21
edge_167_50  4.10  1.07  2.35  -0.38  1.64  3.39  2.39  0.35  1.43  8.41  0.54  7.70  0.29
edge_165_42  1.26  -3.18  3.07  4.10  4.20  -7.67  4.14  0.46  2.60   nan   nan   nan   nan
edge_165_252  -2.01  -3.96  1.35  -19.81  0.76  -4.99  1.56  -11.88  0.77  -0.29  0.79  -0.75  0.50
edge_165_336  -2.47  -3.74  2.06  -16.91  3.01  -7.07  1.12  -10.32  1.82  -4.69  1.05  -5.48  0.71
