#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_43_48  -0.04  7.55  1.54  8.21  2.86  8.69  2.71  7.88  1.62  8.87  0.29  9.92  0.25
edge_43_44  -8.16  10.81  0.64  3.32  0.66  7.69  2.45  7.07  0.46  1.17  0.25  -0.17  0.25
edge_30_56  -5.73  -6.70  8.47  -4.36  1.36  -7.11  6.05  -5.53  4.29  -10.88  0.92  -9.83  0.59
edge_30_70  -4.64  -4.57  2.07  3.00  0.97  -1.86  4.29  -0.78  1.14  -3.64  0.84  -5.36  0.50
edge_65_34  -2.01  1.76  1.46  -5.02  0.55  2.35  1.59  -1.63  0.78  -7.24  0.88  -3.72  0.50
edge_65_70  -3.43  -8.37  1.14  -7.57  1.32  -8.65  0.88  -7.97  0.87  -8.16  0.38  -5.94  0.38
edge_65_64  0.29  -0.02  1.44  2.62  0.73  -1.32  0.39  1.30  0.81  1.46  0.54  0.29  0.29
edge_65_63  3.89  -2.05  0.96  6.40  0.78  0.61  0.55  2.17  0.62  4.98  0.29  5.56  0.25
edge_65_20  4.06  -4.74  1.63  5.81  1.23  -0.71  1.75  0.53  1.02  8.74  0.42  7.74  0.42
edge_49_58  -5.02  -16.11  2.10  -11.81  1.38  -13.19  4.43  -13.96  1.25  -8.62  0.29  -7.66  0.17
edge_49_42  -2.22  -17.83  1.61  -12.80  1.37  -6.92  2.31  -15.32  1.06  -5.69  0.46  -5.56  0.46
edge_49_44  -8.41  -5.85  1.01  -8.98  0.41  -3.49  0.79  -7.42  0.54  -8.28  0.25  -7.20  0.25
edge_24_69  -7.70  -11.73  1.54  -5.79  1.46  -19.06  1.21  -8.76  1.06  -6.40  0.75  -5.86  0.46
edge_24_70  -5.98  -10.73  0.56  -0.02  0.72  -18.73  0.60  -5.37  0.46  -2.13  0.63  -4.44  0.50
