#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_SHP099-1_Example_7_Example_8  0.17  -2.40  2.58  3.00  1.46  1.85  0.84  0.30  1.48  0.59  0.67  -2.05  0.71
edge_SHP099-1_Example_7_Example_14  -0.13  -19.61  2.58  -7.26  5.82  -1.82  3.14  -13.44  3.18  0.67  2.26  0.54  1.59
edge_SHP099-1_Example_7_Example_22  2.13  11.13  3.71  -5.54  1.15  15.31  1.70  2.80  1.94   nan   nan  0.79  0.50
edge_SHP099-1_Example_7_Example_2  6.19  2.51  1.01  4.62  4.79  3.86  0.79  3.56  2.45   nan   nan  5.31  0.38
edge_SHP099-1_Example_7_Example_1  3.18  -2.67  0.93  3.72  1.82  -2.52  0.65  0.52  1.02  0.50  0.38  1.92  0.46
edge_SHP099-1_Example_7_Example_30  2.51  -15.05  1.30  0.48  0.87  -7.98  0.87  -7.28  0.78  2.51  0.63  2.43  0.54
edge_SHP099-1_Example_7_Example_5  9.16  6.72  3.28  10.49  3.39  3.05  3.60  8.60  2.36  17.91  0.67  14.48  0.75
edge_SHP099-1_Example_7_Example_28  5.44  -91.46  3.68  2.94  1.21  4.18  1.87  -44.26  1.94  5.15  0.42  6.49  0.42
edge_SHP099-1_Example_7_10  10.88  2.21  0.48  -0.85  3.03  4.02  0.77  0.68  1.53  9.58  0.33  8.87  0.29
edge_SHP099-1_Example_7_Example_23  4.23  8.50  3.37  -7.07  1.68  14.78  1.64  0.71  1.89  5.36  0.46  4.90  0.38
edge_SHP099-1_Example_7_Example_26  3.31  11.53  6.93  0.97  8.17  4.83  6.72  6.25  5.36   nan   nan  -3.18  0.59
edge_SHP099-1_Example_7_Example_25  3.68  13.16  3.51  -5.31  1.77  13.25  3.79  3.92  1.97  8.03  0.59  6.02  0.63
edge_SHP099-1_Example_7_Example_24  2.85  14.47  1.72  2.15  1.20  10.32  2.84  8.31  1.05  6.61  0.50  3.10  0.54
edge_Example_22_Example_23  2.09  -1.50  0.63  -0.09  0.71  -4.64  0.62  -0.79  0.47  1.34  0.38  2.38  0.29
edge_Example_22_7  9.04  -6.94  1.89  7.40  2.88  -13.94  2.98  0.23  1.72  3.85  1.72  -2.05  1.17
edge_Example_29_Example_9  -4.90  19.13  3.26  12.54  5.51  19.85  2.95  15.83  3.20   nan   nan  -14.18  0.54
edge_Example_29_11  5.31  12.62  3.17  -1.32  1.78  17.86  2.89  5.65  1.82  2.97  1.13  3.60  1.72
edge_11_Example_25  -10.54  16.11  3.96  -0.01  1.91  -5.44  6.28  8.05  2.20   nan   nan  -2.55  0.71
edge_11_Example_6  -11.38  -4.99  2.70  -6.08  2.01  -23.29  3.55  -5.54  1.68  -17.41  1.55  -18.28  1.34
 edge_11_4  2.22  8.76  4.28  9.69  1.25  -9.51  6.88  9.23  2.23   nan   nan  4.90  1.00
 edge_11_7  -3.01  -0.23  3.83  6.90  1.64  -19.69  4.28  3.34  2.08  -13.56  2.05  -13.05  1.76
edge_4_Example_5  -7.28  -13.93  2.26  8.45  2.98  -6.24  2.84  -2.74  1.87  5.40  0.71  -1.13  0.75
edge_4_Example_27  -11.30  -1.40  1.33  0.44  3.20  -3.91  0.76  -0.48  1.73  -10.17  0.50  -10.17  0.33
edge_4_SHP836-2  -3.72  -2.48  0.77  -2.86  1.31  -1.25  0.65  -2.67  0.76  -3.56  0.46  -5.82  0.33
edge_Example_2_Example_23  -1.92  3.76  2.62  -5.33  4.21  5.88  1.57  -0.78  2.48  -4.27  0.50  -3.35  0.59
edge_Example_2_Example_1  -2.97  -1.53  0.66  0.13  0.71  -7.94  0.69  -0.70  0.48   nan   nan  -3.60  0.21
edge_Example_2_Example_4  0.33  0.39  2.15  4.73  2.24  -1.70  1.34  2.56  1.55  3.51  0.63  3.89  0.38
edge_Example_14_7  11.30  10.66  4.02  17.27  4.18  9.02  2.94  13.96  2.90  4.56  0.75  1.55  0.67
edge_Example_14_6  7.32  14.99  3.42  2.10  4.79  15.05  1.35  8.55  2.94  3.01  0.92  1.67  0.71
edge_Example_26_SHP836-2  9.41  -10.18  4.24  -0.88  3.30  15.48  6.67  -5.53  2.68   nan   nan  1.72  0.79
edge_Example_26_Example_6  -0.46  -9.79  5.14  -4.57  6.02  -16.57  4.79  -7.18  3.96   nan   nan  -7.36  1.09
edge_Example_26_Example_25  0.38  -4.73  0.75  -1.19  2.07  -0.90  1.71  -2.96  1.10  7.74  0.92  4.52  0.71
edge_SHP836-2_Example_5  -3.56  -8.27  3.64  11.49  2.58  -1.65  4.48  1.61  2.23  15.98  0.84  5.48  0.71
edge_SHP836-2_Example_27  -7.57  0.29  1.21  6.59  1.23  -1.79  1.23  3.44  0.86  -5.90  0.33  -4.48  0.29
edge_Example_6_Example_8  -2.68  -0.80  4.12  13.21  2.91  11.42  3.29  6.20  2.52  0.29  0.71  5.86  0.59
edge_Example_6_Example_25  0.84  12.47  8.70  -0.95  3.45  11.51  3.56  5.76  4.68   nan   nan  12.72  0.75
edge_Example_6_6  4.35  7.68  2.01  6.66  3.14  4.64  1.26  7.17  1.86  1.59  0.71  5.77  0.79
edge_Example_1_Example_24  -0.38  14.51  2.18  -0.70  1.62  19.71  1.97  6.91  1.36  4.77  0.79  3.14  0.54
edge_Example_1_6  4.02  8.37  2.12  2.23  2.61  11.90  4.33  5.30  1.68  0.63  0.46  -0.13  0.29
